Receptor_measurement1,Receptor_measurement2,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Source_Location_X,Source_Location_Y,Source_Emission_rate,Wind_speed,wind_angle
0.015309,0.0006396,0.0078094,1.45E-05,0.015309,100,50,0.0099886,2,0
7.78E-05,0.0024653,0.030102,5.57E-05,7.78E-05,100,50,0.00025368,10,0
0.0048599,0.025118,0.3067,0.00056758,0.0048599,100,50,0.0015855,1,0
0.0030034,0.0056633,0.069149,0.00012797,0.0030034,100,50,0.0097983,10,0
0.0075653,0.0070549,0.08614,0.00015941,0.0075653,100,50,0.014808,6,0
0.00087479,0.0062215,0.075964,0.00014058,0.00087479,100,50,0.0011416,4,0
0.0024577,0.0043027,0.052536,9.72E-05,0.0024577,100,50,0.0056126,7,0
0.0086701,0.0018141,0.02215,4.10E-05,0.0086701,100,50,0.014143,5,0
0.047044,0.028956,0.35355,0.00065429,0.047044,100,50,0.015348,1,0
0.0031967,0.0061892,0.07557,0.00013985,0.0031967,100,50,0.0093861,9,0
0.018516,0.025991,0.31735,0.00058728,0.018516,100,50,0.012081,2,0
0.0029281,0.0022967,0.028043,5.19E-05,0.0029281,100,50,0.0076421,8,0
0.0040435,0.0086054,0.10507,0.00019445,0.0040435,100,50,0.0065956,5,0
0.0071927,7.75E-05,0.0009466,1.75E-06,0.0071927,100,50,0.0070396,3,0
0.0011542,0.0048987,0.059813,0.00011069,0.0011542,100,50,0.0030124,8,0
0.0012497,0.0026248,0.032049,5.93E-05,0.0012497,100,50,0.0028539,7,0
0.0033803,0.0040055,0.048907,9.05E-05,0.0033803,100,50,0.0099252,9,0
0.0034141,0.0072681,0.088743,0.00016423,0.0034141,100,50,0.0089105,8,0
0.0011525,0.0028242,0.034483,6.38E-05,0.0011525,100,50,0.0026319,7,0
0.00216,0.0059307,0.072415,0.00013401,0.00216,100,50,0.006342,9,0
0.00079919,0.0012404,0.015146,2.80E-05,0.00079919,100,50,0.0023465,9,0
0.0046412,0.011978,0.14625,0.00027065,0.0046412,100,50,0.0060566,4,0
0.0048321,0.0032395,0.039554,7.32E-05,0.0048321,100,50,0.011035,7,0
0.00016524,0.0031863,0.038905,7.20E-05,0.00016524,100,50,0.00053907,10,0
0.00045359,0.0030041,0.036681,6.79E-05,0.00045359,100,50,0.00088787,6,0
