Receptor_measurement1,log Receptor_measurement1,Receptor_measurement1_log,log Receptor_measurement2,Receptor_measurement2,log_log Receptor_measurement3,Receptor_measurement3,Log_receptor4,Receptor_measurement4,Source_Location_X,Log_X,Source location X log,Log y,Source emission rate,Log,Wind speed,Wind spped log,Wind angle,Wind angle log
8.08E-10,-9.09E+00,0.0011131,-2.953465817,0.01359,-1.866780543,2.52E-05,-9.092540268,8.08E-10,15,1.176091259,250,2.397940009,0.0021246,-2.672722823,7,0.84509804,0,
3.80E-09,-8.42E+00,0.005233,-2.281249265,0.063895,-1.194533126,0.00011825,-8.420307843,3.80E-09,15,1.176091259,250,2.397940009,0.0042808,-2.368475062,3,0.477121255,0,
3.58E-09,-8.45E+00,0.0049358,-2.306642446,0.060267,-1.219920427,0.00011153,-8.445692591,3.58E-09,15,1.176091259,250,2.397940009,0.012113,-1.916748283,9,0.954242509,0,
1.77E-08,-7.75E+00,0.024363,-1.613269235,0.29747,-0.526556827,0.0005505,-7.75232127,1.77E-08,15,1.176091259,250,2.397940009,0.013286,-1.876605752,2,0.301029996,0,
1.10E-09,-8.96E+00,0.0015118,-2.820505659,0.018459,-1.73379183,3.42E-05,-8.959555902,1.10E-09,15,1.176091259,250,2.397940009,0.00371,-2.43062609,9,0.954242509,0,
3.82E-09,-8.42E+00,0.0052679,-2.278362478,0.064321,-1.191647212,0.00011903,-8.417413979,3.82E-09,15,1.176091259,250,2.397940009,0.014365,-1.84269437,10,1,0,
3.97E-09,-8.40E+00,0.0054656,-2.262362155,0.066735,-1.175646335,0.0001235,-8.401417392,3.97E-09,15,1.176091259,250,2.397940009,0.010433,-1.981590793,7,0.84509804,0,
7.81E-09,-8.11E+00,0.010757,-1.968308831,0.13134,-0.881602988,0.00024306,-8.107376771,7.81E-09,15,1.176091259,250,2.397940009,0.011733,-1.930590929,4,0.602059991,0,
1.87E-08,-7.73E+00,0.0257,-1.590066877,0.3138,-0.503347061,0.00058071,-7.729134911,1.87E-08,15,1.176091259,250,2.397940009,0.014016,-1.853375911,2,0.301029996,0,
3.80E-10,-9.42E+00,0.0005233,-3.281249265,0.0063895,-2.194533126,1.18E-05,-9.420307843,3.80E-10,15,1.176091259,250,2.397940009,0.0011416,-2.94248604,8,0.903089987,0,
2.18E-09,-8.66E+00,0.0029977,-2.523211832,0.036602,-1.436495183,6.77E-05,-8.662281238,2.18E-09,15,1.176091259,250,2.397940009,0.0073567,-2.133316954,9,0.954242509,0,
1.96E-08,-7.71E+00,0.026979,-1.568974152,0.32942,-0.482250037,0.00060962,-7.708032077,1.96E-08,15,1.176091259,250,2.397940009,0.014713,-1.832298765,2,0.301029996,0,
1.37E-08,-7.86E+00,0.018897,-1.723607137,0.23073,-0.636895934,0.000427,-7.862677544,1.37E-08,15,1.176091259,250,2.397940009,0.010306,-1.986909862,2,0.301029996,0,
4.16E-09,-8.38E+00,0.005724,-2.242300375,0.06989,-1.15558496,0.00012934,-8.381355812,4.16E-09,15,1.176091259,250,2.397940009,0.014047,-1.852416418,9,0.954242509,0,
8.91E-09,-8.05E+00,0.012268,-1.911226233,0.1498,-0.824488187,0.00027722,-8.050263672,8.91E-09,15,1.176091259,250,2.397940009,0.0066908,-2.174521952,2,0.301029996,0,
6.75E-09,-8.17E+00,0.0093031,-2.031372311,0.11359,-0.9446599,0.00021021,-8.170426084,6.75E-09,15,1.176091259,250,2.397940009,0.012684,-1.896743767,5,0.698970004,0,
1.01E-09,-8.99E+00,0.0013955,-2.855270159,0.017039,-1.768555897,3.15E-05,-8.994347685,1.01E-09,15,1.176091259,250,2.397940009,0.0026636,-2.574530994,7,0.84509804,0,
3.74E-09,-8.43E+00,0.0051516,-2.288057865,0.062901,-1.20134245,0.00011641,-8.427116786,3.74E-09,15,1.176091259,250,2.397940009,0.014047,-1.852416418,10,1,0,
3.00E-09,-8.52E+00,0.0041283,-2.38422875,0.050406,-1.297517765,9.33E-05,-8.523284276,3.00E-09,15,1.176091259,250,2.397940009,0.0022514,-2.647547338,2,0.301029996,0,
1.44E-08,-7.84E+00,0.019885,-1.701474405,0.2428,-0.614751318,0.00044933,-7.840523044,1.44E-08,15,1.176091259,250,2.397940009,0.010845,-1.964770444,2,0.301029996,0,
8.35E-10,-9.08E+00,0.00115,-2.93930216,0.014041,-1.852601961,2.60E-05,-9.078370741,8.35E-10,15,1.176091259,250,2.397940009,0.0028222,-2.549412212,9,0.954242509,0,
5.07E-10,-9.30E+00,0.00069773,-3.156312603,0.0085194,-2.06959099,1.58E-05,-9.295369107,5.07E-10,15,1.176091259,250,2.397940009,0.00057078,-3.243531253,3,0.477121255,0,
5.36E-09,-8.27E+00,0.0073844,-2.131684786,0.090163,-1.044971646,0.00016686,-8.270746092,5.36E-09,15,1.176091259,250,2.397940009,0.012081,-1.917897116,6,0.77815125,0,
2.90E-09,-8.54E+00,0.0039926,-2.398744198,0.04875,-1.31202538,9.02E-05,-8.537796729,2.90E-09,15,1.176091259,250,2.397940009,0.0065322,-2.184940527,6,0.77815125,0,
1.01E-10,-9.99E+00,0.00013955,-3.855270159,0.0017039,-2.768555897,3.15E-06,-9.994347685,1.01E-10,15,1.176091259,250,2.397940009,0.00038052,-3.419622512,10,1,0,
1.80E-09,-8.74E+00,0.0024857,-2.604551288,0.03035,-1.517841305,5.62E-05,-8.743619047,1.80E-09,15,1.176091259,250,2.397940009,0.0054224,-2.265808449,8,0.903089987,0,
7.74E-10,-9.11E+00,0.001066,-2.972242795,0.013016,-1.88552246,2.41E-05,-9.11130393,7.74E-10,15,1.176091259,250,2.397940009,0.001744,-2.758453519,6,0.77815125,0,
