Receptor_measurement1,Receptor_measurement2,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Wind_speed,Wind_speed_reci,Wind_speed_sqr_log,Source_Emission_rate
0.16061,0.050245,0.34204,0.026911,9.31E-05,2,0.5,0.602059991,0.008847
6.50E-05,0.0015919,1.28E-11,0.0020479,0.00020471,10,0.1,2,0.011574
0.00033177,0.00015485,0.0028662,9.72E-05,7.91E-07,17,0.058823529,2.460897843,0.0019026
1.44E-19,0.00040312,0,0.006003,0.040258,4,0.25,1.204119983,0.015443
0.00052135,0.016933,0,0.012204,3.47E-06,5,0.2,1.397940009,0.012906
0.002648,0.00082841,0.0056394,0.0004437,1.54E-06,20,0.05,2.602059991,0.014587
2.72E-05,0.00066727,5.36E-12,0.00085844,8.58E-05,10,0.1,2,0.0048516
0.0022258,0.0010389,0.019229,0.00065231,5.31E-06,14,0.071428571,2.292256071,0.0086568
8.09E-21,2.26E-05,0,0.00033725,0.0022617,10,0.1,2,0.0054224
0.00052582,0.00012816,1.53E-08,6.20E-05,1.35E-08,10,0.1,2,0.00041223
0.14622,0.045743,0.3114,0.0245,8.48E-05,2,0.5,0.602059991,0.0080543
2.09E-05,0.00051285,4.12E-12,0.00065978,6.60E-05,18,0.055555556,2.51054501,0.012081
0.12664,0.059109,1.0941,0.037115,0.00030194,2,0.5,0.602059991,0.010052
8.54E-21,2.39E-05,0,0.00035594,0.002387,13,0.076923077,2.227886705,0.0096715
6.22E-09,0.00052347,1.11E-51,0.0021772,0.0042938,3,0.333333333,0.954242509,0.001966
0.0028603,0.00089484,0.0060916,0.00047928,1.66E-06,17,0.058823529,2.460897843,0.011384
3.05E-05,0.00074841,6.01E-12,0.00096283,9.62E-05,9,0.111111111,1.908485019,0.0044077
0.009233,0.0043094,0.079766,0.0027059,2.20E-05,3,0.333333333,0.954242509,0.0016489
7.84E-21,2.20E-05,0,0.00032703,0.0021932,14,0.071428571,2.292256071,0.010306
4.00E-71,2.12E-07,0,5.43E-05,0.0033323,17,0.058823529,2.460897843,0.011733
0.20723,0.064832,0.44135,0.034724,0.00012015,2,0.5,0.602059991,0.011416
0.00025368,0.0062148,4.99E-11,0.0079953,0.00079921,2,0.5,0.602059991,0.0018075
0.0013616,0.00063553,0.011763,0.00039904,3.25E-06,13,0.076923077,2.227886705,0.0045662
4.29E-20,0.00012026,0,0.0017908,0.01201,5,0.2,1.397940009,0.0071981
0.0067551,0.072997,0.00011304,0.09267,0.014581,1,1,0,0.0057078
0.018186,0.0056894,0.03873,0.0030472,1.05E-05,7,0.142857143,1.69019608,0.012272
3.98E-05,0.00097446,7.82E-12,0.0012536,0.00012531,8,0.125,1.806179974,0.0045345
0.001946,0.00090829,0.016812,0.00057031,4.64E-06,15,0.066666667,2.352182518,0.0086885
2.19E-21,6.14E-06,0,9.14E-05,0.00061327,17,0.058823529,2.460897843,0.0042491
0.18448,0.049275,0.02897,0.022647,1.83E-05,2,0.5,0.602059991,0.0094812
0.0011633,0.00036392,0.0024774,0.00019492,6.74E-07,17,0.058823529,2.460897843,0.0046296
0.00079318,0.019432,1.56E-10,0.024999,0.0024989,3,0.333333333,0.954242509,0.012716
0.0018937,0.00088385,0.01636,0.00055496,4.51E-06,20,0.05,2.602059991,0.01503
4.54E-21,1.27E-05,0,0.00018917,0.0012687,7,0.142857143,1.69019608,0.0014904
3.99E-21,1.90E-06,0,4.32E-05,0.00060964,18,0.055555556,2.51054501,0.0037735
0.011052,0.0034577,0.023539,0.001852,6.41E-06,5,0.2,1.397940009,0.0038052
2.68E-05,0.00065709,5.27E-12,0.00084535,8.45E-05,15,0.066666667,2.352182518,0.01075
0.0042551,0.001986,0.036761,0.001247,1.01E-05,13,0.076923077,2.227886705,0.014269
5.56E-21,1.56E-05,0,0.00023203,0.0015561,17,0.058823529,2.460897843,0.010781
3.04E-47,4.19E-06,0,0.00044801,0.016491,5,0.2,1.397940009,0.0054224
0.0022884,0.00071591,0.0048736,0.00038345,1.33E-06,18,0.055555556,2.51054501,0.010211
5.73E-05,0.0014043,1.13E-11,0.0018066,0.00018059,10,0.1,2,0.010211
0.00047541,0.00022189,0.0041072,0.00013933,1.13E-06,20,0.05,2.602059991,0.0037735
1.44E-20,4.03E-05,0,0.00059982,0.0040226,11,0.090909091,2.08278537,0.011669
5.81E-09,0.00012288,1.54E-42,0.00043179,0.00062798,9,0.111111111,1.908485019,0.003171
0.00039943,0.00012496,0.00085067,6.69E-05,2.32E-07,14,0.071428571,2.292256071,0.0010781
1.04E-05,0.00025441,2.04E-12,0.00032729,3.27E-05,12,0.083333333,2.158362492,0.0026636
0.052202,0.024365,0.45099,0.015299,0.00012446,3,0.333333333,0.954242509,0.0093227
