Receptor_measurement1,Receptor_measurement2,Receptor_measurement4,Receptor_measurement5,Wind_speed,Source_Location_X,Source_Location_Y
0.0042551,0.001986,0.001247,1.01E-05,13,100,100
5.56E-21,1.56E-05,0.00023203,0.0015561,17,300,300
3.04E-47,4.19E-06,0.00044801,0.016491,5,361,348
0.0022884,0.00071591,0.00038345,1.33E-06,18,70,70
5.73E-05,0.0014043,0.0018066,0.00018059,10,180,180
0.00047541,0.00022189,0.00013933,1.13E-06,20,100,100
1.44E-20,4.03E-05,0.00059982,0.0040226,11,300,300
5.81E-09,0.00012288,0.00043179,0.00062798,9,183,255
0.00039943,0.00012496,6.69E-05,2.32E-07,14,70,70
1.04E-05,0.00025441,0.00032729,3.27E-05,12,180,180
0.052202,0.024365,0.015299,0.00012446,3,100,100
4.31E-21,1.21E-05,0.0001795,0.0012038,16,300,300
0.0030984,0.00092751,0.00047274,1.38E-06,10,38,55
0.0023231,0.00072676,0.00038926,1.35E-06,15,70,70
1.27E-05,0.00031152,0.00040076,4.01E-05,7,180,180
0.0019726,0.00092067,0.00057808,4.70E-06,16,100,100
1.37E-20,3.84E-05,0.00057211,0.0038368,11,300,300
0.38547,0.05131,0.016635,1.85E-09,2,330,28
0.02846,0.0089036,0.0047688,1.65E-05,5,70,70
3.12E-05,0.00076322,0.00098187,9.81E-05,12,180,180
0.018821,0.0087846,0.0055158,4.49E-05,3,100,100
1.68E-20,4.70E-05,0.00070035,0.0046968,7,300,300
0.033438,0.0030952,0.0010448,1.60E-10,8,348,42
0.039236,0.012275,0.0065745,2.27E-05,5,70,70
0.00013296,0.0032573,0.0041905,0.00041888,8,180,180
0.0039951,0.0018647,0.0011708,9.53E-06,8,100,100
1.25E-20,3.50E-05,0.00052158,0.0034979,11,300,300
4.60E-19,7.59E-06,0.00014528,0.0017842,20,255,326
0.034447,0.010777,0.005772,2.00E-05,5,70,70
9.67E-05,0.0023691,0.0030478,0.00030466,9,180,180
0.0015668,0.00073129,0.00045918,3.74E-06,16,100,100
2.91E-21,8.16E-06,0.00012147,0.00081464,17,300,300
0.0001531,0.00066068,0.00078314,0.00016276,15,55,181
0.0095231,0.0029793,0.0015957,5.52E-06,9,70,70
2.43E-05,0.00059411,0.00076432,7.64E-05,14,180,180
0.0013623,0.00063585,0.00039924,3.25E-06,20,100,100
