Date,ROWL.JLR1_LEVEL.F_CV,ROWL.JLR2_LEVEL.F_CV,ROWL.LHHW_LM_LEVEL.F_CV,ROWL.LHHW_LY_LEVEL.F_CV,ROWL.LHHW_R9_LEVEL.F_CV,ROWL.NOGALESLS_LEVEL.F_CV,ROWL.RS01_LEVEL.F_CV,ROWL.RS02_LEVEL.F_CV,ROWL.RS03_LEVEL.F_CV,ROWL.RS04_LEVEL.F_CV,ROWL.RS05_LEVEL.F_CV,ROWL.RS06_LEVEL.F_CV,ROWL.RS07_LEVEL.F_CV,ROWL.RS08_LEVEL.F_CV,ROWL.RS10_LEVEL.F_CV,ROWL.RS11_LEVEL.F_CV,ROWL.RS12_LEVEL.F_CV,ROWL.RS13_LEVEL.F_CV,ROWL.RS14_LEVEL.F_CV,ROWL.RS15_LEVEL.F_CV,ROWL.RS16_LEVEL.F_CV,ROWL.RS2A_TANK_LEVEL.F_CV,ROWL.RS9_LEVEL.F_CV,ROWL.WELL1_LEVEL.F_CV,ROWL.WELL1WW_LEVEL.F_CV
2022-05-10 00:00:00,16.9360008239746,16.9300003051758,0,0,0,4.60812520980835,21.3512306213379,23.5219993591309,3.94781422615051,21.42799949646,21.3663864135742,21.6800003051758,17.6272220611572,21.4041347503662,19.9619998931885,22.8680000305176,25.9403381347656,19.780574798584,18.7014579772949,17.976448059082,23.5240001678467,23.3431243896484,-0.492000013589859,-6.25,6.15670156478882
2022-05-10 00:05:00,16.9699993133545,16.9640007019043,0,0,0,4.6009373664856,21.3339099884033,23.5219993591309,3.94781422615051,21.4379997253418,21.3512306213379,21.6520004272461,17.6076908111572,21.3919277191162,19.9479999542236,22.8540000915527,25.9378967285156,19.765926361084,18.6843662261963,17.9495315551758,23.5240001678467,23.4000015258789,-0.493999987840652,-6.25,6.15381765365601
2022-05-10 00:10:00,17.0020008087158,16.9939994812012,0,0,0,4.60531282424927,21.3209190368652,23.5020008087158,3.94781422615051,21.4300003051758,21.3382396697998,21.6079998016357,17.5881595611572,21.3748378753662,19.931999206543,22.8419990539551,25.933012008667,19.756160736084,18.6819248199463,17.9264602661133,23.496000289917,23.4487495422363,-0.492000013589859,-6.25,6.15670156478882
2022-05-10 00:15:00,17.0340003967285,17.0279998779297,0,0,0,4.60624980926514,21.3014335632324,23.488000869751,3.95025563240051,21.4300003051758,21.3339099884033,21.568000793457,17.5613021850586,21.3626308441162,19.9179992675781,22.826000213623,25.930570602417,19.748836517334,18.6648349761963,17.9033889770508,23.4860000610352,23.4731254577637,-0.492000013589859,-6.25,6.15670156478882
2022-05-10 00:20:00,17.068000793457,17.0599994659424,0,0,0,4.57781267166138,21.2819499969482,23.4740009307861,3.94537281990051,21.4300003051758,21.310094833374,21.5200004577637,17.5466537475586,21.3528652191162,19.9039993286133,22.8099994659424,25.928129196167,19.741512298584,18.6501865386963,17.884162902832,23.4680004119873,23.5218753814697,-0.493999987840652,-6.25,6.15381765365601
2022-05-10 00:25:00,17.0979995727539,17.0900001525879,0,0,0,4.60468721389771,21.2732906341553,23.4659996032715,3.95025563240051,21.431999206543,21.3057632446289,21.4720001220703,17.5295639038086,21.3430995941162,19.8880004882813,22.7980003356934,25.925687789917,19.731746673584,18.6428623199463,17.863655090332,23.4599990844727,23.5625,-0.492000013589859,-6.25,6.15958595275879
2022-05-10 00:30:00,17.1299991607666,17.1259994506836,0,0,0,4.57562494277954,21.2538051605225,23.4479999542236,3.95025563240051,21.4360008239746,21.2927742004395,21.4519996643066,17.5124740600586,21.3357753753662,19.8719997406006,22.7840003967285,25.925687789917,19.731746673584,18.6282138824463,17.8393020629883,23.4479999542236,23.6031246185303,-0.492000013589859,-6.25,6.15093374252319
2022-05-10 00:35:00,17.1599998474121,17.1580009460449,0,0,0,4.60812520980835,21.2386512756348,23.4340000152588,3.95025563240051,21.4400005340576,21.2711238861084,21.3899993896484,17.5002670288086,21.3235683441162,19.8600006103516,22.7719993591309,25.923246383667,19.719539642334,18.6111240386963,17.817512512207,23.4300003051758,23.6518745422363,-0.492000013589859,-6.25,6.15670156478882
2022-05-10 00:40:00,17.1959991455078,17.1919994354248,0,0,0,4.59093761444092,21.2234954833984,23.4220008850098,3.95025563240051,21.4519996643066,21.2646293640137,21.3439998626709,17.4856185913086,21.3138027191162,19.8479995727539,22.7600002288818,25.915922164917,19.709774017334,18.6037998199463,17.7931594848633,23.4200000762939,23.6924991607666,-0.492000013589859,-6.25,6.15093374252319
2022-05-10 00:45:00,17.2299995422363,17.2220001220703,0,0,0,4.57656288146973,21.2083377838135,23.4099998474121,3.94781422615051,21.4580001831055,21.2386512756348,21.3080005645752,17.4758529663086,21.3064765930176,19.8379993438721,22.7479991912842,25.908597946167,19.697566986084,18.5793857574463,17.766242980957,23.4120006561279,23.6518745422363,-0.492000013589859,-6.25,6.15670156478882
2022-05-10 00:50:00,17.2600002288818,17.253999710083,0,0,0,4.58531284332275,21.1975154876709,23.3980007171631,3.94781422615051,21.4619998931885,21.2343196868896,21.2840003967285,17.4685287475586,21.2991523742676,19.82200050354,22.7360000610352,25.901273727417,19.687801361084,18.5720615386963,17.7470149993896,23.4020004272461,23.5381259918213,-0.492000013589859,-6.25,6.15670156478882
2022-05-10 00:55:00,17.2940006256104,17.2880001068115,0,0,0,4.58375024795532,21.1866893768311,23.3880004882813,3.94781422615051,21.4680004119873,21.2105045318604,21.2220001220703,17.4538803100586,21.2918281555176,19.8139991760254,22.7240009307861,25.898832321167,19.6853580474854,18.5696201324463,17.7354793548584,23.3880004882813,23.4325008392334,-0.492000013589859,-6.25,6.15093374252319
