Receptor_measurement1,Receptor1_Log,Receptor_measurement2,Receptor2_Log,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Wind_speed,Wind_speed_reci,Wind_speed_sqr_log,Source_Location_X,Source_Location_Y,Source_Emission_rate,Log
0.0063921,-4.388712879,0.0029834,-5.050577029,0.055223,0.0018733,1.52E-05,11,0.090909091,2.08278537,100,100,0.015348,-1.813948209
5.20E-22,-42.56799331,1.46E-06,-11.67129429,0,2.17E-05,0.00014549,10,0.1,2,300,300,0.00034881,-3.457411073
2.72E-12,-23.13086219,1.43E-05,-9.689327925,1.29E-28,0.00025746,0.0048082,9,0.111111111,1.908485019,49,397,0.014555,-1.83698779
0.00073574,-6.266551264,0.00023017,-7.275902565,0.0015669,0.00012328,4.27E-07,13,0.076923077,2.227886705,70,70,0.0017123,-2.766420143
0.00023786,-7.247357171,0.0058271,-4.469095058,4.68E-11,0.0074965,0.00074936,6,0.166666667,1.556302501,180,180,0.015252,-1.816673203
0.1646,-1.567140338,0.076824,-2.229006168,1.422,0.048237,0.00039243,2,0.5,0.602059991,100,100,0.013064,-1.883923828
2.09E-21,-41.35970743,5.86E-06,-10.46420477,0,8.73E-05,0.00058527,20,0.05,2.602059991,300,300,0.0056126,-2.250835908
4.64E-44,-86.66696404,7.04E-06,-10.30485468,0,0.00070328,0.0254,5,0.2,1.397940009,354,349,0.0085616,-2.067445066
0.0099623,-4.003280769,0.0031167,-5.012609998,0.021217,0.0016693,5.78E-06,7,0.142857143,1.69019608,70,70,0.0067225,-2.172469189
1.65E-05,-9.565032112,0.00040443,-6.786313273,3.25E-12,0.0005203,5.20E-05,17,0.058823529,2.460897843,180,180,0.0084982,-2.070673052
0.025952,-3.171658335,0.012113,-3.833496566,0.2242,0.0076055,6.19E-05,5,0.2,1.397940009,100,100,0.012874,-1.890286495
6.76E-21,-40.34010661,1.89E-05,-9.447076392,0,0.00028198,0.0018911,11,0.090909091,2.08278537,300,300,0.0054858,-2.26076003
2.34E-05,-9.261568285,0.0016253,-5.578132929,1.27E-08,0.0032952,0.002685,7,0.142857143,1.69019608,82,231,0.013191,-1.87972228
0.23256,-1.266929962,0.072756,-2.276262371,0.49529,0.038969,0.00013484,1,1,0,70,70,0.0032027,-2.49448374
1.48E-05,-9.659476569,0.00036344,-6.879134552,2.92E-12,0.00046756,4.67E-05,12,0.083333333,2.158362492,180,180,0.0038052,-2.419622512
