Receptor_measurement1,Receptor_measurement2,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Source_Location_X,Source_Location_Y,Source_Emission_rate,Wind_speed,wind_angle
0.21734,3.42E-07,2.09E-20,0.0073595,0.21734,50,96,0.0048199,10,0
0.31256,2.90E-07,4.22E-22,0.0011528,0.31256,37,70,0.015601,8,0
0.0017033,2.35E-09,1.60E-25,1.29E-06,0.0017033,24,45,0.00072933,10,0
2.58E-08,0.0068805,0.050952,0.00064866,2.58E-08,21,241,0.0052321,2,0
0.039956,9.21E-05,5.26E-09,0.75342,0.039956,33,155,0.01002,5,0
0.7698,0.00021625,2.60E-08,2.0485,0.7698,4,138,0.0077055,1,0
0.00069007,7.59E-09,6.70E-32,1.17E-08,0.00069007,26,5,0.014808,2,0
0.02994,3.02E-08,2.16E-22,0.00020386,0.02994,39,77,0.00025368,2,0
1.39E-06,0.00046474,0.00063691,0.0032325,1.39E-06,17,217,0.00085616,2,0
0.01882,2.14E-08,9.53E-31,1.28E-06,0.01882,48,41,0.011162,5,0
0.23144,7.84E-05,3.39E-09,0.88043,0.23144,16,141,0.014333,5,0
0.0019987,8.74E-09,6.28E-27,3.05E-07,0.0019987,12,16,0.011162,6,0
1.58E-10,0.0075331,0.13696,1.50E-05,1.58E-10,17,261,0.0087519,6,0
0.0040055,0.00015672,3.36E-06,0.17059,0.0040055,6,174,0.0035198,4,0
0.22206,7.67E-05,1.14E-10,1.4424,0.22206,39,143,0.0074201,2,0
5.36E-07,0.019133,0.027537,0.017534,5.36E-07,39,225,0.01484,1,0
8.45E-11,0.0067166,0.13858,6.50E-06,8.45E-11,10,267,0.010686,10,0
4.64E-07,0.0011118,0.00039131,0.0071435,4.64E-07,43,214,0.0042491,3,0
3.10E-06,5.36E-05,9.09E-06,0.0034759,3.10E-06,27,201,0.0003171,3,0
0.014184,1.68E-08,1.68E-29,1.58E-06,0.014184,43,41,0.013001,9,0
0.00021212,0.00012389,3.36E-07,0.10191,0.00021212,43,182,0.0050736,7,0
3.07E-12,0.034923,0.82983,8.14E-07,3.07E-12,9,284,0.014047,4,0
2.28E-07,0.00088721,0.0011293,0.0022906,2.28E-07,31,221,0.0045979,6,0
0.018067,6.55E-05,1.97E-08,0.35994,0.018067,25,158,0.0074835,7,0
0.49451,3.35E-06,2.00E-15,0.092101,0.49451,34,108,0.01354,10,0
2.53E-12,0.017011,0.40163,5.59E-07,2.53E-12,8,283,0.0070079,4,0
4.31E-08,0.011213,0.11003,0.000745,4.31E-08,13,245,0.0071664,2,0
0.0052088,6.13E-09,5.28E-29,8.54E-07,0.0052088,40,42,0.0021563,5,0
0.39893,9.60E-07,1.48E-17,0.014775,0.39893,29,90,0.011828,10,0
2.41E-05,2.37E-10,1.17E-30,1.19E-09,2.41E-05,13,3,0.0015855,10,0
0.0013168,0.00013891,3.90E-07,0.19399,0.0013168,33,176,0.0087836,9,0
0.0014573,2.06E-09,2.93E-32,6.99E-08,0.0014573,47,37,0.001744,6,0
0.016382,3.65E-08,5.63E-22,2.34E-05,0.016382,4,38,0.0019977,2,0
0.31671,6.53E-07,2.98E-19,0.0010875,0.31671,3,49,0.01503,2,0
0.0021846,2.09E-05,1.45E-07,0.045523,0.0021846,5,165,0.0018075,10,0
0.2178,1.68E-06,6.09E-15,0.038899,0.2178,25,106,0.0056761,9,0
0.0064814,5.35E-05,3.22E-07,0.12519,0.0064814,5,164,0.0014587,3,0
3.85E-09,0.00011699,5.34E-05,0.00022473,3.85E-09,50,219,0.00076104,6,0
0.036059,8.91E-07,2.48E-13,0.018377,0.036059,17,117,0.0011098,8,0
