1.84509804,1.84509804,-3.799833754
2.255272505,2.255272505,-1.982924904
2,2,-2.142782124
2.477121255,2.477121255,-2.601174933
2.342422681,2.509202522,-2.539763871
1.84509804,1.84509804,-1.817556814
2.257678575,2.255272505,-1.852416418
2,2,-2.438111872
2.477121255,2.477121255,-2.092266263
1.86923172,2.346352974,-2.114989524
1.84509804,1.84509804,-1.967340954
2.255272505,2.255272505,-2.061055195
2,2,-1.913355479
2.477121255,2.477121255,-2.211004852
1.740362689,2.397940009,-1.838901644
1.84509804,1.84509804,-1.817556814
2.255272505,2.255272505,-2.606705644
2,2,-1.870406772
2.477121255,2.477121255,-2.028984063
2.206825876,2.515873844,-2.799833754
1.84509804,1.84509804,-2.099130582
2.255272505,2.255272505,-2.311286595
2,2,-2.122231405
2.477121255,2.477121255,-2.051650618
2.509202522,1.69019608,-2.659952682
1.84509804,1.84509804,-1.944927618
2.255272505,2.255272505,-2.679272273
2,2,-2.26076003
2.477121255,2.477121255,-2.133316954
2.346352974,2.549003262,-1.820275904
1.84509804,1.84509804,-1.894592014
2.255272505,2.255272505,-2.362090189
2,2,-1.84269437
2.477121255,2.477121255,-2.243531253
2.397940009,1.913813852,-2.158365272
1.84509804,1.84509804,-3.083835678
2.255272505,2.255272505,-1.901114106
2,2,-1.808604883
2.477121255,2.477121255,-1.90661334
2.515873844,2.480006943,-1.938886946
1.84509804,1.84509804,-2.358922687
2.255272505,2.255272505,-2.104356495
2,2,-1.813948209
2.477121255,2.477121255,-3.457411073
1.69019608,2.598790507,-1.83698779
1.84509804,1.84509804,-2.766420143
2.255272505,2.255272505,-1.816673203
2,2,-1.883923828
2.477121255,2.477121255,-2.250835908
2.549003262,2.542825427,-2.067445066
1.84509804,1.84509804,-2.172469189
2.255272505,2.255272505,-2.070673052
2,2,-1.890286495
2.477121255,2.477121255,-2.26076003
1.913813852,2.36361198,-1.87972228
1.84509804,1.84509804,-2.49448374
2.255272505,2.255272505,-2.419622512
2,2,-2.378231902
2.477121255,2.477121255,-1.972487308
2.480006943,2.271841607,-2.692632344
1.84509804,1.84509804,-2.554317973
2.255272505,2.255272505,-2.051650618
2,2,-1.870406772
2.477121255,2.477121255,-1.930590929
2.598790507,2.588831726,-1.853375911
1.84509804,1.84509804,-2.053203973
2.255272505,2.255272505,-1.936516522
2,2,-2.720652508
2.477121255,2.477121255,-1.811268329
2.542825427,2.100370545,-1.889208339
1.84509804,1.84509804,-1.836034017
2.255272505,2.255272505,-2.314115013
2,2,-2.062642616
2.477121255,2.477121255,-2.265808449
2.36361198,1.875061263,-3.384860406
1.84509804,1.84509804,-2.093972198
2.255272505,2.255272505,-1.917897116
2,2,-1.99774752
