Receptor_measurement1,Receptor_measurement2,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,wind_x,wind_y,source_rate,source_rate_log,wind_speed
0.00074637,0.00028702,0.00026657,0.00014089,6.44E-07,-141.23,7.4014,0.0042808,-2.368475062,14
5.55E-06,6.70E-05,3.31E-06,0.0001591,0.00049676,-289.35,310.29,0.0014904,-2.826697158,7
5.13E-09,7.13E-05,6.55E-16,0.00053772,0.0049893,-1.4506,355.21,0.011098,-1.95475528,8
0.00090924,0.00044851,0.000024127,0.00019373,1.20E-07,-92.42,-35.477,0.0046296,-2.334456531,10
0.0045804,0.0019072,0.0036567,0.0010419,1.81E-05,-253.59,22.186,0.0097983,-2.008849268,8
0.0013048,0.00064819,0.0042473,0.00044122,2.04E-05,-100,100,0.0030758,-2.512041907,9
4.40E-05,6.69E-05,1.01E-04,8.05E-05,6.93E-05,-367.42,212.13,0.0011416,-2.94248604,11
0.000007356,0.00010054,4.3915E-06,0.00027956,0.0012246,-423.1,359.36,0.010242,-1.989615229,11
0.042606,0.01877,0.2045,0.011839,0.00017594,27.287,95.16,0.0080543,-2.093972198,3
8.14E-06,5.28E-05,6.86E-06,8.56E-05,8.76E-05,-103.54,232.55,0.0033929,-2.46942894,20
0.00043265,0.00037322,0.0020562,0.00030969,2.75E-05,-34.213,137.22,0.0014587,-2.836034017,8
1.61E-07,4.66E-05,2.18E-09,0.00024173,0.0018613,-192.61,378.02,0.011511,-1.938886946,11
0.0011875,0.00057525,0.00056173,0.00030315,4.40E-06,-370.49,-20.382,0.0016172,-2.791236267,5
8.58E-05,4.98E-05,8.01E-07,2.09E-05,7.05E-09,-85.732,-49.497,0.0021563,-2.666290817,19
0.00064421,0.0027811,0.00084608,0.0040976,0.0035166,-123.41,222.64,0.014206,-1.84752819,6
0.00027211,0.00010803,0.00048818,6.39E-05,1.39E-06,-124.87,66.393,0.0023465,-2.629579441,19
8.52E-05,6.38E-05,2.05E-04,5.58E-05,1.87E-05,-398.68,145.11,0.0019977,-2.69946973,18
0.046913,0.019798,0.02458,0.010264,0.00010613,-242.83,4.185,0.0017123,-2.766420143,1
0.064687,0.022768,0.058955,0.012021,9.44E-05,-89.72,41.837,0.012399,-1.90661334,3
0.00021764,0.0055386,0.000020463,0.011623,0.017088,-35.428,252.08,0.011003,-1.958488887,3
0.035162,0.013086,0.035006,0.0070926,8.28E-05,-135.24,41.348,0.013508,-1.869408948,4
4.40E-07,1.05E-05,3.64E-12,5.77E-06,2.10E-11,-305.19,-294.72,0.014682,-1.83321478,13
0.00019784,0.00041112,3.9948E-07,0.00018587,2.36E-08,-277.4,-168.06,0.0022831,-2.641475066,3
0.71005,0.29385,3.275,0.18011,0.0020639,38.68,91.125,0.013667,-1.864326806,1
1.43E-06,8.00E-05,1.68E-08,0.00018491,0.0002837,8.884,254.4,0.0037418,-2.426919429,14
0.008186,0.0032806,0.015363,0.0019568,4.48E-05,-123.69,68.562,0.004915,-2.308476478,5
3.04E-18,2.59E-05,1.65E-231,0.00089698,0.022498,205.69,371.07,0.0020294,-2.692632344,2
6.85E-08,2.17E-06,1.46E-12,1.31E-06,5.73E-12,-399.58,-348.14,0.012589,-1.900008766,17
0.0017796,0.00071732,0.0046359,0.00043576,8.42E-06,-58.188,80.089,0.0055809,-2.253295759,12
0.0005422,0.0006349,3.0496E-06,0.00027784,7.23E-08,-224.76,-119.51,0.012177,-1.914459694,8
0.041924,0.024406,0.0009193,0.010562,6.23E-06,-131.12,-52.977,0.012399,-1.90661334,2
2.14E-07,3.07E-05,7.83E-09,0.00013658,0.00090601,-212.13,367.42,0.0091324,-2.039415075,14
0.00041429,0.00020556,0.000059081,9.66E-05,2.71E-07,-219.1,-36.856,0.0045662,-2.34044507,14
0.0053671,0.0022869,0.025357,0.0014204,1.83E-05,33.858,93.025,0.01075,-1.968591536,10
0.000046444,0.0038697,3.4221E-11,0.0068434,0.0026205,142.35,211.04,0.011574,-1.936516522,5
0.0068524,0.0054542,0.031872,0.0044296,0.00037999,-46.042,133.72,0.011955,-1.92245042,6
1.91E-06,3.16E-05,4.30E-11,1.69E-05,1.08E-10,-315.29,-283.89,0.0047882,-2.319827718,5
0.00059207,0.00036226,2.5737E-06,0.00014985,3.32E-08,-66.136,-51.914,0.0075152,-2.124059457,13
0.0020698,0.00068341,0.0056765,0.00037658,1.69E-06,64.947,74.712,0.0077372,-2.111416177,16
0.047907,0.020496,0.065822,0.012252,0.0004258,-249,52.926,0.0059614,-2.224651737,2
0.00042376,0.00038159,0.0020345,0.00031988,2.86E-05,-26.984,138.82,0.0075469,-2.122231405,18
8.56E-17,5.98E-07,1.01E-57,2.10E-05,0.00058071,116.94,407.83,0.0030758,-2.512041907,12
1.46E-09,1.79E-05,1.80E-14,0.00018473,0.0024679,-100.71,411.08,0.012969,-1.88709351,10
0.060502,0.020812,0.19252,0.011704,6.30E-05,60.947,78.009,0.014808,-1.829503594,4
0.000025154,0.0010453,7.2994E-07,0.0023422,0.0036019,-8.884,254.4,0.015696,-1.80421101,8
0.0094635,0.0041901,0.0010523,0.0019188,3.47E-06,-139.68,-22.123,0.014206,-1.84752819,6
0.00035972,0.00026938,0.00086557,0.00023583,7.89E-05,-398.68,145.11,0.0051053,-2.291978733,14
6.06E-13,6.58E-08,8.65E-19,1.30E-06,2.51E-05,-147.02,479.38,0.00057078,-3.243531253,14
0.0009217,0.00045466,0.000024457,0.00019639,1.21E-07,-92.42,-35.477,0.0011733,-2.930590929,5
0.00017871,0.00019683,1.2607E-06,8.63E-05,2.61E-08,-226.81,-115.57,0.014238,-1.846551011,16
0.0002234,0.00010419,0.000017696,4.70E-05,6.63E-08,-138.33,-29.403,0.0037735,-2.423255646,19
0.00052061,0.0003364,0.0011648,0.00027113,6.62E-05,-405.73,124.04,0.0044077,-2.355787972,12
