Receptor_measurement1,Receptor1_Log,Receptor_measurement2,Receptor2_Log,Receptor_measurement3,Receptor_measurement4,Receptor4_Log,Receptor_measurement5,Wind_speed,Wind_speed_reci,Wind_speed_sqr_log,Source_Location_X,Source_Location_Y,Log
0.64081,-0.386541439,0.29909,-1.048396215,5.5361,0.1878,-1.45E+00,0.0015278,1,1,0,100,100,-1.895649481
4.99E-05,-8.603798909,2.33E-05,-9.265288158,0.00043143,1.46E-05,-9.67E+00,1.19E-07,16,0.0625,2.408239965,100,100,-3.595713771
0.0060883,-4.431007912,0.0028417,-5.092843545,0.052599,0.0017843,-5.50E+00,1.45E-05,11,0.090909091,2.08278537,100,100,-1.835112042
0.0024018,-5.238926319,0.001121,-5.900788775,0.020749,0.00070387,-6.31E+00,5.73E-06,13,0.076923077,2.227886705,100,100,-2.093972198
0.0041948,-4.754577481,0.0019579,-5.416418987,0.03624,0.0012293,-5.82E+00,1.00E-05,12,0.083333333,2.158362492,100,100,-1.921325727
0.0014986,-5.648628543,0.00069945,-6.310486651,0.012947,0.00043918,-6.71E+00,3.57E-06,15,0.066666667,2.352182518,100,100,-2.174521952
0.071201,-2.295027814,0.033232,-2.956887042,0.61512,0.020866,-3.36E+00,0.00016976,3,0.333333333,0.954242509,100,100,-1.895649481
0.001981,-5.406231049,0.00092462,-6.068073434,0.017114,0.00058056,-6.47E+00,4.72E-06,11,0.090909091,2.08278537,100,100,-2.322712499
0.0066856,-4.349719222,0.0031204,-5.011579462,0.057758,0.0019593,-5.42E+00,1.59E-05,7,0.142857143,1.69019608,100,100,-2.187053237
0.0015418,-5.623943917,0.00071964,-6.28576941,0.01332,0.00045186,-6.69E+00,3.68E-06,16,0.0625,2.408239965,100,100,-2.106110686
0.64081,-0.386541439,0.29909,-1.048396215,5.5361,0.1878,-1.45E+00,0.0015278,1,1,0,100,100,-1.895649481
