Receptor_measurement1,,Receptor_measurement2,,Receptor_measurement4,,Receptor_measurement5,,wind speed log,Wind_speed,,Source_Location_X,,Source_Location_Y,
0.00011015,-3.958015499,0.0026985,-2.568877578,0.0034716,-2.46E+00,0.00034703,-3.46E+00,9.03E-01,8,2.255272505,180,2.255272505,180,-1.901114106
0.0030587,-2.514463117,0.0014276,-2.845393461,0.0008964,-3.05E+00,7.29E-06,-5.14E+00,1.20E+00,16,2,100,2,100,-1.808604883
2.05E-19,-18.68824614,0.00057538,-3.240045238,0.0085683,-2.07E+00,0.057462,-1.24E+00,4.77E-01,3,2.477121255,300,2.477121255,300,-1.90661334
7.03E-26,-25.15304467,1.77E-05,-4.752026734,0.00034683,-3.46E+00,0.0026757,-2.57E+00,1.15E+00,14,2.515873844,328,2.480006943,302,-1.938886946
0.01271,-1.895854449,0.0039764,-2.400509935,0.0021298,-2.67E+00,7.37E-06,-5.13E+00,6.99E-01,5,1.84509804,70,1.84509804,70,-2.358922687
1.10E-05,-4.958607315,0.0002704,-3.567993313,0.00034786,-3.46E+00,3.48E-05,-4.46E+00,1.30E+00,20,2.255272505,180,2.255272505,180,-2.104356495
0.0063921,-2.194356439,0.0029834,-2.525288515,0.0018733,-2.73E+00,1.52E-05,-4.82E+00,1.04E+00,11,2,100,2,100,-1.813948209
5.20E-22,-21.28399666,1.46E-06,-5.835647144,2.17E-05,-4.66E+00,0.00014549,-3.84E+00,1.00E+00,10,2.477121255,300,2.477121255,300,-3.457411073
2.72E-12,-11.5654311,1.43E-05,-4.844663963,0.00025746,-3.59E+00,0.0048082,-2.32E+00,9.54E-01,9,1.69019608,49,2.598790507,397,-1.83698779
0.00073574,-3.133275632,0.00023017,-3.637951282,0.00012328,-3.91E+00,4.27E-07,-6.37E+00,1.11E+00,13,1.84509804,70,1.84509804,70,-2.766420143
0.00023786,-3.623678585,0.0058271,-2.234547529,0.0074965,-2.13E+00,0.00074936,-3.13E+00,7.78E-01,6,2.255272505,180,2.255272505,180,-1.816673203
0.1646,-0.783570169,0.076824,-1.114503084,0.048237,-1.32E+00,0.00039243,-3.41E+00,3.01E-01,2,2,100,2,100,-1.883923828
2.09E-21,-20.67985371,5.86E-06,-5.232102384,8.73E-05,-4.06E+00,0.00058527,-3.23E+00,1.30E+00,20,2.477121255,300,2.477121255,300,-2.250835908
4.64E-44,-43.33348202,7.04E-06,-5.152427341,0.00070328,-3.15E+00,0.0254,-1.60E+00,6.99E-01,5,2.549003262,354,2.542825427,349,-2.067445066
